University,City,State,Denomination,Rank,Market,Academic,aCFI,CSI_Score,CSI_Quantile,Endowment,Latitude,Longitude
Liberty University,Lynchburg,VA,Protestant,1,0.9986501019683699,0.9506324019128685,0.8208165481662044,0.9178823754956486,8,2889536146.25,37.35394665,-79.1531533219339
Sacred Heart University,Fairfield,CT,Roman Catholic,3,0.9986501019683699,0.7171262079979278,0.8102849067330768,0.8669897244305143,8,359938976.441,41.22259744999999,-73.24446729633347
Savannah College of Art and Design,Savannah,GA,Roman Catholic,4,0.9986501019683699,0.687695778897506,0.8186772151478191,0.8644651834809197,8,450294890.895,32.07776915,-81.10099365718662
Southern Methodist University,Dallas,TX,Methodist,9,0.9986501019683699,0.6335774529530773,0.8158624184539804,0.8525204484877543,8,2457485744.064,32.84180114999999,-96.78152810147064
Baylor University,Waco,TX,Baptist,10,0.9986501019683699,0.6347821953415568,0.8146306681275013,0.8522683300105544,8,2319964085.559,31.55043405,-97.1102905567766
University of Notre Dame,Notre Dame,IN,Roman Catholic,11,0.9986501019683699,0.60438926686293,0.8247806282917516,0.8502547976654098,8,24010302260.643,41.70456775,-86.23822026017265
Texas Christian University,Fort Worth,TX,Protestant,12,0.9986501019683699,0.6274055970892625,0.8112243482863755,0.8494305388195021,8,3065408991.313,32.7080148,-97.36119385339882
Syracuse University,Syracuse,NY,Methodist,13,0.9986501019683699,0.6106326347102713,0.8106898871977624,0.8458637323122788,8,2282785566.015,43.01711285,-76.11855360009726
Loyola University Chicago,Chicago,IL,Roman Catholic,17,0.9986501019683699,0.5159266599973246,0.8357428720380479,0.8369582125002429,8,1120455031.69,41.99914920000001,-87.65737041681818
DePaul University,Chicago,IL,Roman Catholic,18,0.9986501019683699,0.5662210471923685,0.808907108874239,0.8362723880823759,8,1231972454.115,41.9245803,-87.65072230067958
Princeton University,Princeton,NJ,Interdenominational,20,0.9381479566606512,0.5799704618905428,0.8487542140541718,0.8307728996649935,8,45087052885.495,40.33867515,-74.65836549131683
Yale University,New Haven,CT,Interdenominational,22,0.9848657267838433,0.5375765995619605,0.6722014469254292,0.7703243854528515,8,50681474134.498,41.3135727,-72.9231731
Clark Atlanta University,Atlanta,GA,Methodist,23,0.9888722646547018,0.4458832220479921,0.6782693297706209,0.7560254604970114,8,114792226.859,33.75012475,-84.41158897451389
Stanford University,Stanford,CA,Interdenominational,26,0.9841754580392027,0.5110797002510118,0.5986526126481964,0.7353173733318625,8,43678472171.516,37.43131385,-122.1693653549831
Emory University,Atlanta,GA,Methodist,27,0.9970239476879377,0.6767488989343298,0.5000216336109102,0.734100639348465,8,10491058820.98,33.7969409,-84.32371468406527
Boston College,Chestnut Hill,MA,Roman Catholic,30,0.9875993394206649,0.6154495720157207,0.5237068116063784,0.727556811285139,8,4276658569.222,42.3401702,-71.167045
Duke University,Durham,NC,Methodist,31,0.9920719135561643,0.5399230063488268,0.5384472834708549,0.7201467700452766,8,14751189917.749,36.00015569999999,-78.94422972195878
High Point University,High Point,NC,Methodist,32,0.9884792832362865,0.629333312885997,0.4973424014534821,0.7201330236737853,8,202020476.542,35.9720859,-79.9936582
Anderson University,Anderson,SC,Baptist,33,0.836548072371482,0.5285949830659764,0.696208993576272,0.7188245504854683,8,30777700.896,34.51478935,-82.63874687710373
Santa Clara University,Santa Clara,CA,Roman Catholic,34,0.9771572671526583,0.581777131927508,0.5274785977479335,0.7181593746253798,8,1667141461.573,37.3486243,-121.9365440053793
Fairfield University,Fairfield,CT,Roman Catholic,35,0.9917237925632323,0.6392398347514034,0.4801007353924008,0.716510701916881,8,506631457.061,41.15967565,-73.25740310197213
St. John's University-New York,Queens,NY,Roman Catholic,38,0.9815979860314136,0.6647659604486552,0.4690898843463882,0.713157521823073,8,972760736.921,40.7255421,-73.7919066
University of St Thomas,Saint Paul,MN,Roman Catholic,40,0.9722907675553493,0.61517401613953,0.490800780699907,0.708210836207779,8,823063088.907,44.94210585,-93.1894521972007
Fordham University,Bronx,NY,Roman Catholic,44,0.9893809922439329,0.6126016493638113,0.4620946058564467,0.7030427897699245,8,1119385853.526,40.86173435000001,-73.88603169298054
Chapman University,Orange,CA,Protestant,46,0.9859740274831936,0.6041651856649992,0.4679662097174997,0.7023437113339057,8,852307981.373,33.79338165,-117.851695945987
Loyola University Maryland,Baltimore,MD,Roman Catholic,48,0.9750622654813886,0.5935127373224933,0.4718267819561507,0.6973956742956251,8,364000678.801,39.34835375,-76.61593184876489
Berry College,Mount Berry,GA,Interdenominational,49,0.8052138525770922,0.5237775681885899,0.6681925677888934,0.6941188211555934,8,402275173.523,34.293036,-85.19174086702785
Mercer University,Macon,GA,Baptist,51,0.9492543015809671,0.6232881825655052,0.4725371982842206,0.6933114896504183,8,596820645.75,32.8289341,-83.65067020582131
Belmont University,Nashville,TN,Interdenominational,52,0.971659860422345,0.5176164633319925,0.5021700684523276,0.6930067705975826,8,497223117.777,36.13278325,-86.79265777214094
Dallas Baptist University,Dallas,TX,Baptist,53,0.8261009007041786,0.857745883887851,0.4753731209769926,0.6920654753957749,8,82425316.968,32.7108312,-96.946767972549
Seattle University,Seattle,WA,Roman Catholic,54,0.8797577198865177,0.5228424250502639,0.5888578744901369,0.6919922343211189,8,359465085.961,47.60950425,-122.3187982970228
Gonzaga University,Spokane,WA,Roman Catholic,55,0.9493522899107403,0.618033054895834,0.4694019138993981,0.6910454343515214,8,483910083.525,47.66710255,-117.4030545594068
Wake Forest University,Winston-Salem,NC,Protestant,59,0.968581232675241,0.4950600538492897,0.4980892656852262,0.6856334638385294,8,1328272564.692,36.13389295,-80.27555779127688
University of Denver,Denver,CO,Methodist,60,0.9585206730531557,0.5495454935881973,0.4805909280710182,0.685499050736259,8,1330532838.483,39.6783106,-104.9624727630881
University of St Thomas,Houston,TX,Roman Catholic,61,0.9395883107484005,0.6275545068880162,0.4550107082812603,0.6832847968493602,8,173653696.596,29.7368408,-95.39417194809748
Seton Hall University,South Orange,NJ,Roman Catholic,63,0.9608916856563097,0.5757031246187809,0.4527750378612367,0.6805442098573194,8,383270423.496,40.75201795,-74.23952913701487
Samford University,Birmingham,AL,Baptist,64,0.9191025703090075,0.6016125806960717,0.4756167718043312,0.6781533048238102,8,490041746.4,33.553754,-86.751096
Villanova University,Villanova,PA,Roman Catholic,67,0.8686742397249158,0.5980686920684012,0.5144577665395464,0.6728227581795936,8,1518575983.857,40.03575,-75.3401787
University of Chicago,Chicago,IL,Interdenominational,68,0.9259762033704309,0.551886735574338,0.4750372390747563,0.6707299452468629,8,10776747231.612,41.79139685,-87.60084387193544
Trinity University,San Antonio,TX,Presbyterian,69,0.7978631630892121,0.4989024900728102,0.6210059170291329,0.6673226546799896,8,1530069004.612,29.4616913,-98.48350834832186
University of Dayton,Dayton,OH,Roman Catholic,70,0.8800257821858618,0.626059716998503,0.4749024480690859,0.6671276074413751,8,1005326808.243,39.73845985,-84.17919478013708
University of the Incarnate Word,San Antonio,TX,Roman Catholic,71,0.9673836113619129,0.471128349506034,0.4640267372990202,0.666738763516953,8,208463940.625,29.4688466,-98.46910390973764
University of Evansville,Evansville,IN,Methodist,77,0.7147841520055426,0.4439569886140419,0.71051110824958,0.6589357299324454,8,173163950.365,37.9735131,-87.53229765717168
Abilene Christian University,Abilene,TX,Churches of Christ,79,0.8966148250055407,0.4481860826266741,0.5178785108692616,0.6554036464866664,8,966154256.423,32.4699728,-99.70735954838815
Houston Christian University,Houston,TX,Baptist,81,0.8704053162713552,0.594343823232395,0.470176327931983,0.6550489826794503,8,144351765.743,32.646035,-96.805742
Lynn University,Boca Raton,FL,Interdenominational,85,0.8037087721534675,0.749928778787489,0.449134696469695,0.6510576063909626,8,41181258.704,26.3837711,-80.12540276819502
Saint Leo University,Saint Leo,FL,Roman Catholic,86,0.7981321848227626,0.7528281018160139,0.4502539324045016,0.6498550220119255,8,93128067.766,28.3385394,-82.25807054363955
University of Hartford,West Hartford,CT,Interdenominational,88,0.9420661607864839,0.4443677627158408,0.4448795333186692,0.6436021626995428,8,213098795.409,41.8002648,-72.71412054842195
Providence College,Providence,RI,Roman Catholic,89,0.8319080588255268,0.6015795693853241,0.4755854979088595,0.6432651049075799,8,403791679.631,41.8442938,-71.43548862523096
California Baptist University,Riverside,CA,Baptist,90,0.8250477591320591,0.6545031781140583,0.4447058529938329,0.6387430665500426,8,200790654.859,33.9283239,-117.4259206205848
